kernel             typed MB    erased MB      e/t
br-table             2086.2       1416.2     0.68
call-indirect        1969.3       1441.3     0.73
fib                  6117.6       4879.1     0.80
float                1512.2       1160.2     0.77
funcs-16             1664.3       1288.3     0.77
funcs-2              1664.2       1288.2     0.77
funcs-4              1664.2       1288.2     0.77
funcs-64             1664.6       1288.6     0.77
globals-16           1696.3       1240.3     0.73
globals-2            1528.2       1072.2     0.70
globals-4            1552.2       1096.2     0.71
globals-64           2272.4       1816.4     0.80
labels-16            2968.2       1956.2     0.66
labels-2             1400.2       1004.2     0.72
labels-4             1624.2       1140.2     0.70
labels-64            8344.3       5220.3     0.63
locals-16            2568.2       2000.2     0.78
locals-2             2232.2       1664.2     0.75
locals-4             2280.2       1712.2     0.75
locals-64            3720.2       3152.3     0.85
loop-arith           2596.2       1912.2     0.74
loop-arith64         2456.2       1876.2     0.76
memory-random        9523.0       8296.1     0.87
memory-stream       72436.3      71060.3     0.98
