module,bytes,functions,instructions,decode_ms,validate_ms,instantiate_ms
bench/wasm/br-table.wasm,123,1,40,0.004,0.002,0.000
bench/wasm/call-indirect.wasm,136,5,32,0.005,0.003,0.000
bench/wasm/empty.wasm,36,1,1,0.003,0.000,0.000
bench/wasm/fib.wasm,73,2,16,0.003,0.001,0.000
bench/wasm/float.wasm,85,1,22,0.003,0.001,0.000
bench/wasm/funcs-16.wasm,230,18,68,0.012,0.006,0.000
bench/wasm/funcs-2.wasm,103,4,26,0.003,0.002,0.000
bench/wasm/funcs-4.wasm,121,6,32,0.004,0.002,0.000
bench/wasm/funcs-64.wasm,664,66,212,0.031,0.017,0.001
bench/wasm/globals-16.wasm,164,1,20,0.004,0.002,0.000
bench/wasm/globals-2.wasm,94,1,20,0.003,0.001,0.000
bench/wasm/globals-4.wasm,104,1,20,0.003,0.002,0.000
bench/wasm/globals-64.wasm,406,1,20,0.009,0.006,0.000
bench/wasm/labels-16.wasm,119,1,33,0.004,0.002,0.000
bench/wasm/labels-2.wasm,77,1,19,0.002,0.001,0.000
bench/wasm/labels-4.wasm,83,1,21,0.002,0.001,0.000
bench/wasm/labels-64.wasm,265,1,81,0.007,0.005,0.000
bench/wasm/locals-16.wasm,69,1,16,0.002,0.001,0.000
bench/wasm/locals-2.wasm,69,1,16,0.002,0.001,0.000
bench/wasm/locals-4.wasm,69,1,16,0.002,0.001,0.000
bench/wasm/locals-64.wasm,69,1,16,0.003,0.003,0.000
bench/wasm/loop-arith.wasm,97,1,32,0.003,0.001,0.000
bench/wasm/loop-arith64.wasm,96,1,31,0.003,0.001,0.000
bench/wasm/memory-random.wasm,139,1,45,0.004,0.002,0.000
bench/wasm/memory-stream.wasm,96,1,26,0.003,0.001,0.000
bench/wasm-t2/coremark-100.wasm,178747,88,15087,4.537,3.989,0.184
bench/wasm-t2/coremark-4000.wasm,178748,88,15087,3.895,4.135,0.185
bench/wasm-t2/pb-2mm-medium.wasm,168948,70,12064,3.305,3.367,0.084
bench/wasm-t2/pb-2mm-mini.wasm,169217,70,12204,2.859,3.222,0.088
bench/wasm-t2/pb-2mm-small.wasm,168891,70,12048,2.797,2.755,0.088
